epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.119,1.09599,2.30609,1.44193,0.9028,0.92878,0.98013,0.6407,1.04849,3.43696,1.56877,0.00022,0.00022,0.00022
2,326.738,0.98058,1.25039,1.3274,0.72519,0.71429,0.72628,0.38063,1.50508,3.03289,2.14984,0.000450892,0.000450892,0.000450892
3,529.97,1.02091,1.294,1.37264,0.6147,0.66098,0.66227,0.38686,1.32954,1.65328,1.99923,0.00067228,0.00067228,0.00067228
4,730.343,1.17411,1.19387,1.42355,0.552,0.82857,0.68866,0.30169,1.77944,5.35414,3.70634,0.000884164,0.000884164,0.000884164
5,874.12,1.25296,1.16839,1.49648,0.46202,0.55714,0.4498,0.1855,1.98182,3.24426,2.97835,0.00108654,0.00108654,0.00108654
6,1039.41,1.3598,1.33649,1.64196,0.16085,0.51429,0.18882,0.06327,2.46002,13.2351,3.33813,0.00127942,0.00127942,0.00127942
7,1182.15,1.35366,1.24388,1.54037,0.26083,0.25714,0.1519,0.04297,2.9851,7.64771,5.03183,0.00146279,0.00146279,0.00146279
8,1329.39,1.43171,1.30964,1.60936,0.24686,0.5,0.2372,0.08513,2.47093,10.0295,4.837,0.00163666,0.00163666,0.00163666
9,1471.65,1.40508,1.33123,1.58441,0.05298,0.28571,0.03381,0.00846,3.23062,30.6984,6.89278,0.0016832,0.0016832,0.0016832
10,1625,1.39115,1.20694,1.55145,0.09472,0.21429,0.04819,0.01008,3.45398,15.1823,6.245,0.0016436,0.0016436,0.0016436
11,1783.6,1.45875,1.24736,1.58662,0.28053,0.32857,0.22657,0.08837,2.21295,5.72357,3.09471,0.001604,0.001604,0.001604
12,1926.72,1.37591,1.12966,1.56443,0.39737,0.35714,0.2683,0.0958,2.12267,3.38612,3.08303,0.0015644,0.0015644,0.0015644
13,2068.76,1.39364,1.25412,1.60603,0.46935,0.51808,0.50233,0.17228,2.22657,2.71906,3.40194,0.0015248,0.0015248,0.0015248
14,2210.99,1.21916,1.0581,1.45777,0.4452,0.68571,0.51373,0.24762,1.80886,2.29667,2.74062,0.0014852,0.0014852,0.0014852
15,2352.58,1.33381,1.07233,1.56328,0.6008,0.70955,0.66757,0.27534,1.83259,2.92757,2.39903,0.0014456,0.0014456,0.0014456
16,2494.66,1.25647,1.0879,1.48647,0.50791,0.81429,0.62933,0.25646,1.90303,2.27113,2.72013,0.001406,0.001406,0.001406
17,2674.77,1.29288,1.01745,1.49813,0.37985,0.72857,0.4832,0.23203,1.74118,2.7402,2.45464,0.0013664,0.0013664,0.0013664
18,2846.73,1.22791,1.02478,1.49236,0.50469,0.65714,0.51025,0.21178,1.8984,1.84934,2.68094,0.0013268,0.0013268,0.0013268
19,2988.91,1.14972,0.98719,1.407,0.44271,0.67143,0.53309,0.2488,1.70636,1.71853,2.44182,0.0012872,0.0012872,0.0012872
20,3131.71,1.17629,0.94177,1.39895,0.45787,0.8084,0.54706,0.27312,1.54936,1.68561,2.13659,0.0012476,0.0012476,0.0012476
21,3274.84,1.10891,0.84367,1.36658,0.65536,0.7878,0.75049,0.31197,1.71874,1.43586,2.42874,0.001208,0.001208,0.001208
22,3417.91,1.14973,0.8899,1.40972,0.80834,0.71429,0.77614,0.39641,1.75917,1.23585,2.38325,0.0011684,0.0011684,0.0011684
23,3559.41,1.16963,0.88407,1.4116,0.87122,0.85714,0.90148,0.54673,1.43364,0.98048,1.99732,0.0011288,0.0011288,0.0011288
24,3703.9,1.0961,0.84014,1.36061,0.87664,0.81429,0.89424,0.536,1.43368,0.99256,1.95138,0.0010892,0.0010892,0.0010892
25,3846.81,1.11427,0.87409,1.35337,0.92297,0.85583,0.89312,0.55466,1.44262,0.86615,1.93621,0.0010496,0.0010496,0.0010496
26,3991.15,1.04742,0.80501,1.32873,0.90971,0.88571,0.92357,0.56105,1.38119,0.88121,1.81555,0.00101,0.00101,0.00101
27,4152.38,1.06709,0.82832,1.32964,0.89259,0.91429,0.93294,0.53715,1.30783,0.92414,1.849,0.0009704,0.0009704,0.0009704
28,4316.36,1.06586,0.80364,1.36455,0.87227,0.87804,0.92293,0.52647,1.3746,1.03188,1.89505,0.0009308,0.0009308,0.0009308
29,4459.6,1.07256,0.83771,1.36248,0.82904,0.76208,0.84743,0.53061,1.42904,1.19067,1.87685,0.0008912,0.0008912,0.0008912
30,4646.61,1.0211,0.77135,1.31535,0.8937,0.92857,0.93636,0.56152,1.24463,1.02651,1.74076,0.0008516,0.0008516,0.0008516
31,4851.22,1.02155,0.74162,1.3003,0.89482,0.85081,0.91667,0.58421,1.33571,0.90872,1.87667,0.000812,0.000812,0.000812
32,5054.03,1.0082,0.75716,1.32273,0.97607,0.92857,0.95988,0.63653,1.25981,0.74793,1.76674,0.0007724,0.0007724,0.0007724
33,5253.88,1.00771,0.76672,1.28671,0.91237,0.94286,0.95214,0.59456,1.3657,0.87543,1.93579,0.0007328,0.0007328,0.0007328
34,5457.3,1.01038,0.72814,1.31276,0.88196,0.9,0.92442,0.52385,1.4288,0.91543,2.04181,0.0006932,0.0006932,0.0006932
35,5647.71,0.96475,0.70449,1.2832,0.89855,0.91429,0.91899,0.57131,1.37125,0.97759,1.90196,0.0006536,0.0006536,0.0006536
36,5854.55,1.00064,0.74149,1.29428,0.83746,0.88571,0.90509,0.56392,1.3587,1.01677,1.88199,0.000614,0.000614,0.000614
37,6065.67,0.8453,0.6157,1.18394,0.88704,0.87143,0.9033,0.59338,1.20463,0.9223,1.70636,0.0005744,0.0005744,0.0005744
38,6272.32,0.91549,0.65908,1.26148,0.91014,0.9,0.92578,0.58808,1.25792,0.7885,1.74085,0.0005348,0.0005348,0.0005348
39,6479.31,0.86324,0.60518,1.17515,0.87417,0.89323,0.93338,0.61377,1.29466,0.85692,1.76849,0.0004952,0.0004952,0.0004952
40,6685.12,0.89794,0.61304,1.23195,0.98381,0.88571,0.95723,0.65355,1.15458,0.77011,1.66422,0.0004556,0.0004556,0.0004556
41,6891.28,0.75435,0.62734,1.18016,0.95218,0.94286,0.94651,0.65467,1.12219,0.6984,1.64647,0.000416,0.000416,0.000416
